id_experience	image_logo	fr_annee	fr_titre	fr_sous_titre	en_annee	en_titre	en_sous_titre	images_langages	fr_noms_langages 	en_noms_langages 
alternanceGOC	groupama.png	2025 – 2026	Alternance en tant qu'Analyste de données - Gestion de projet	Groupama d'Oc	2025 – 2026	Apprenticeship as Data Analyst – Project Management	Groupama d'Oc	excel.png, vba.png, powerautomate.png, powerapps.png, teams.png, sharepoint.png, outlook.png, powerpoint.png, canva.png	Microsoft Excel, Visual Basic for Applications, Power Automate, Power Apps, Microsoft Teams, Microsoft SharePoint, Outlook, PowerPoint, Canva	Microsoft Excel, Visual Basic for Applications, Power Automate, Power Apps, Microsoft Teams, Microsoft SharePoint, Outlook, PowerPoint, Canva
stageCHU	chumtp.png	2025	Stage en Administration de données	CHU de Montpellier	2025	Internship in Data Administration	CHU de Montpellier	plsql.png, sql.png, mariadb.png	PL/SQL, SQL, MariaDB	PL/SQL, SQL, MariaDB
jobGrandBleu	grandbleu.png	saison 2024	Nageur Sauveteur	Espace aquatique du Grand Bleu	2024 season	Lifeguard	Grand Bleu aquatic center			
