id_formation	id_associe	fr_annee	fr_titre	fr_sous_titre	en_annee	en_titre	en_sous_titre	images
BAC		2022	Baccalauréat général, spécialités NSI et Mathématiques, avec mention Bien 	Obtenu au lycée Jules Guesde (Montpellier) 	2022	High School Diploma, majors in Computer Science and Mathematics, with honours (Bien) 	Obtained at Jules Guesde High School (Montpellier) 	lycee.png
BUT mtp	projet Trains	2022 – 2023	BUT Informatique à l'IUT de Montpellier 	Première année du Bachelor Universitaire de Technologie 	2022 – 2023	BSc in Computer Science at IUT Montpellier 	First year of the Bachelor of Technology 	iutmtp.png
BUT tlse	alternance GOC, stageCHU, projet IA séries, projet OpenFF, projet site volley, projet immobilier	2023 – 2025	BUT Informatique à l'IUT de Toulouse Paul Sabatier 	Spécialisation en Administration, Gestion et Exploitation des Données, dont la troisième année réalisée en alternance 	2023 – 2025	BSc in Computer Science at IUT Toulouse Paul Sabatier 	Specialization in Data Administration, Management and Exploitation, with the third year completed through an apprenticeship 	iuttlse.png
ambition		Aujourd’hui	Recherche d'un Master en alternance 	Spécialisée dans le domaine de la donnée 	Today	Looking for a Master's degree apprenticeship 	Specialized in the data field 	
