id_projet	fr_titre	fr_sous_titre	fr_annee	en_titre	en_sous_titre	en_annee	equipe	images_langages	fr_nom_langages	en_nom_langages	image_ecole	id_ecole	fr_nom_ecole	en_nom_ecole
projet Trains	Implémentation du jeu de société Trains en suivant la POO	et optimisation grâce à la théorie des graphes	2023	Implementation of the board game Trains using object-oriented programming 	and optimization through graph theory 	2023	2	java.png	Java	Java	iutmtp.png	BUT mtp	BUT Informatique, université de Montpellier	BSc in Computer Science, IUT Montpellier 
projet immobilier	Développement d’une application de gestion immobilière, avec une architecture DAO 	conception en équipe en suivant la méthode Agile Scrum	2024	Development of a real estate management application with a DAO architecture 	designed in a team using the Agile Scrum methodology 	2024	5	java.png, plsql.png, jetbrains.png, oraclesqldevelopper.png	Java, PL/SQL, suite JetBrains (notamment Intellij IDEA ici), Oracle SQL Developper	Java, PL/SQL, JetBrains suite (notably IntelliJ IDEA), Oracle SQL Developer 	iuttlse.png	BUT tlse	BUT Informatique, IUT de Toulouse Paul Sabatier	BSc in Computer Science at IUT Toulouse Paul Sabatier 
projet site volley	Création d’un site web avec API	pour la gestion d’une équipe de volleyball	2025	Creation of a website with an API 	for managing a volleyball team 	2025	2	php.png, postman.png, html.png, css.png	PHP, Postman (pour les tests d’API), HTML, CSS	PHP, Postman (for API testing), HTML, CSS 	iuttlse.png	BUT tlse	BUT Informatique, IUT de Toulouse Paul Sabatier	BSc in Computer Science at IUT Toulouse Paul Sabatier 
projet OpenFF	Transformation, analyse et visualisation de données	à partir de la base de données d’Open Food Facts   	2025	Data transformation, analysis, and visualization 	Based on the Open Food Facts database 	2025	2	powerbi.png, knime.png, csv.png	Power BI, KNIME, CSV (Manipulation du format de données)	Power BI, KNIME, CSV (data format manipulation) 	iuttlse.png	BUT tlse	BUT Informatique, IUT de Toulouse Paul Sabatier	BSc in Computer Science at IUT Toulouse Paul Sabatier 
projet IA séries	Conception d’une IA de recommandation de séries 	à partir de données textuelles brutes   	2025	Development of a series recommendation AI	based on raw textual data	2025	2	python.png, sqlite.png, virtualbox.png, vscode.png	Python, SQLite, Oracle VirtualBox, Visual Studio Code	Python, SQLite, Oracle VirtualBox, Visual Studio Code	iuttlse.png	BUT tlse	BUT Informatique, IUT de Toulouse Paul Sabatier	BSc in Computer Science at IUT Toulouse Paul Sabatier 
fonctionnement	Conception et développement de ce portfolio interactif 	un projet personnel visant à présenter mon profil de manière intuitive et interactive   	2026	Design and development of this interactive portfolio 	a personal project aimed at presenting my profile in an intuitive and interactive way 	2026	1	nextjs.png, reactjs.png, typescript.png, tailwindcss.png	Next.js, React.js, TypeScript, Tailwind CSS	Next.js, React.js, TypeScript, Tailwind CSS				
